addr,category,name,symbol,info
0x24A77c1F17C547105E14813e517be06b0040aa76,transferfrom-no-return,Live Stars Token,LIVE,_
0x2bDC0D42996017fCe214b21607a515DA41A9E0C5,transferfrom-no-return,SkinCoin,SKIN,_
0x336F646F87D9f6bC6Ed42Dd46E8b3fD9DbD15C22,transferfrom-no-return,Crystal Clear Token,CCT,_
0x38c6A68304cdEfb9BEc48BbFaABA5C5B47818bb2,transferfrom-no-return,high-performance-blockchain,_,_
0x422866a8F0b032c5cf1DfBDEf31A20F4509562b0,transferfrom-no-return,Adshares Token,ADST,_
0x56ba2Ee7890461f463F7be02aAC3099f6d5811A8,transferfrom-no-return,BlockCAT Token,CAT,_
0x622dFfCc4e83C64ba959530A5a5580687a57581b,transferfrom-no-return,CUBE,AUTO,_
0x6cCB56947eA1d6eFdc81ACfbAcd8263DDFa9b202,transferfrom-no-return,Royal Kingdom Coin,RKC,_
0x78B7FADA55A64dD895D8c8c35779DD8b67fA8a05,transferfrom-no-return,ATLANT Token,ATL,_
0x81b4D08645DA11374a03749AB170836E4e539767,transferfrom-no-return,Paymon Token,PMNT,_
0x8727c112C712c4a03371AC87a74dD6aB104Af768,transferfrom-no-return,Jetcoin,JET,_
0xB45a50545bEEAB73F38F31E5973768C421805E5E,transferfrom-no-return,TKRToken,TKR,_
0xCc34366E3842cA1BD36c1f324d15257960fCC801,transferfrom-no-return,Bonpay Token,BON,_
0xEF68e7C694F40c8202821eDF525dE3782458639f,transferfrom-no-return,loopring,_,_
0xEa1f346faF023F974Eb5adaf088BbCdf02d761F4,transferfrom-no-return,Blocktix Token,TIX,_
0xF433089366899D83a9f26A773D59ec7eCF30355e,transferfrom-no-return,Metal,MTL,_
0xe3818504c1B32bF1557b16C238B2E01Fd3149C17,transferfrom-no-return,PILLAR,PLR,_
0xf05a9382A4C3F29E2784502754293D88b835109C,transferfrom-no-return,REX - Real Estate tokens,REX,_
